"lon","lat","time"
5.4323814,52.9261166,2013-06-05 00:09:59
5.4324428,52.9261082,2013-06-05 00:42:02
5.4324328,52.9261124,2013-06-05 01:12:25
5.4324315,52.9260908,2013-06-05 01:42:35
5.4324297,52.9260993,2013-06-05 02:12:41
5.4324634,52.9261069,2013-06-05 02:43:35
5.43243,52.926125,2013-06-05 03:03:53
5.4325309,52.9259825,2013-06-05 03:20:37
5.4326229,52.9259462,2013-06-05 03:35:37
5.4327617,52.9257709,2013-06-05 03:50:32
5.4329234,52.9256663,2013-06-05 04:05:38
5.4330141,52.9256567,2013-06-05 04:21:08
5.4330005,52.9257323,2013-06-05 04:36:17
5.4330968,52.9257224,2013-06-05 04:51:35
5.4333161,52.9257471,2013-06-05 05:22:15
5.4333212,52.9257744,2013-06-05 05:37:13
5.4334366,52.9257646,2013-06-05 05:52:07
5.4330779,52.9261344,2013-06-05 06:07:38
5.4333315,52.9261028,2013-06-05 06:22:32
5.4328839,52.9257746,2013-06-05 06:37:27
5.4398266,52.9309659,2013-06-05 06:52:38
5.4289362,52.9308409,2013-06-05 07:07:51
5.4286884,52.9308731,2013-06-05 07:22:47
5.4324248,52.9257316,2013-06-05 07:37:43
5.4319686,52.92558,2013-06-05 07:53:14
5.431907,52.9254942,2013-06-05 08:08:39
5.4322021,52.9250868,2013-06-05 08:24:25
5.4322188,52.9250874,2013-06-05 08:39:18
5.4321209,52.925055,2013-06-05 08:54:17
5.4321788,52.9249767,2013-06-05 09:09:24
5.4324539,52.9247177,2013-06-05 09:41:06
5.4322705,52.924946,2013-06-05 09:56:27
5.4323012,52.9250207,2013-06-05 10:11:40
5.4321478,52.9252582,2013-06-05 10:27:02
5.432076,52.9253574,2013-06-05 10:41:57
5.4320054,52.925158,2013-06-05 10:59:03
5.4321638,52.9250808,2013-06-05 11:15:45
5.4322243,52.925091,2013-06-05 11:30:55
5.4318078,52.9253919,2013-06-05 11:53:56
5.4321948,52.9255786,2013-06-05 12:08:54
5.4323531,52.9251741,2013-06-05 12:30:07
5.4322495,52.9254668,2013-06-05 12:45:40
5.4325514,52.9251824,2013-06-05 13:00:37
5.432282,52.9252317,2013-06-05 13:15:52
5.4323138,52.9252123,2013-06-05 13:30:44
5.4322167,52.9249836,2013-06-05 14:00:25
5.4324139,52.9247811,2013-06-05 14:15:18
5.4324834,52.9248069,2013-06-05 14:31:08
5.4319936,52.9251885,2013-06-05 14:46:29
5.4318765,52.9253066,2013-06-05 15:01:40
5.4324192,52.9251475,2013-06-05 15:32:21
5.4317255,52.9255979,2013-06-05 16:02:05
5.4312252,52.9255977,2013-06-05 16:17:23
5.4316023,52.9254317,2013-06-05 16:32:23
5.4317642,52.9254494,2013-06-05 16:47:16
5.4321606,52.9254858,2013-06-05 17:02:14
5.4335173,52.9256375,2013-06-05 17:32:38
5.4341109,52.9251173,2013-06-05 17:47:35
5.4338044,52.9251559,2013-06-05 18:03:32
5.4336832,52.9254689,2013-06-05 18:18:42
5.4331378,52.9256591,2013-06-05 18:33:39
5.4334267,52.9256417,2013-06-05 18:48:50
5.4331467,52.925916,2013-06-05 19:03:46
5.432687,52.9259677,2013-06-05 19:20:05
5.4325752,52.9259494,2013-06-05 19:35:27
5.4324585,52.9261365,2013-06-05 19:56:34
5.4325572,52.926617,2013-06-05 20:26:39
5.4322267,52.9260378,2013-06-05 20:56:45
5.4322905,52.9260087,2013-06-05 21:27:23
5.4322178,52.9260459,2013-06-05 21:57:47
5.4322528,52.9260302,2013-06-05 22:29:38
5.4322409,52.9260341,2013-06-05 22:59:44
5.4322671,52.9260252,2013-06-05 23:29:37
5.4323065,52.926002,2013-06-06 00:29:37
5.4322556,52.9260288,2013-06-06 01:30:10
5.4322719,52.9260254,2013-06-06 02:00:32
5.4322592,52.9260297,2013-06-06 02:30:55
5.4322695,52.9260258,2013-06-06 03:01:24
5.4324331,52.925881,2013-06-06 03:16:19
5.4326972,52.9256533,2013-06-06 03:31:14
5.432687,52.9255492,2013-06-06 03:46:19
5.4325483,52.925639,2013-06-06 04:01:34
5.4322613,52.925846,2013-06-06 04:16:47
5.4321636,52.9259337,2013-06-06 04:31:43
5.4321867,52.9259202,2013-06-06 04:47:05
5.4329417,52.9257053,2013-06-06 05:02:55
5.4322566,52.9259287,2013-06-06 05:17:50
5.4324467,52.9258579,2013-06-06 05:32:56
5.4325209,52.9255488,2013-06-06 05:48:17
5.4318463,52.9254624,2013-06-06 06:03:39
5.4314537,52.9259595,2013-06-06 06:19:09
5.4314941,52.9256208,2013-06-06 06:34:06
5.4322755,52.9252546,2013-06-06 06:49:17
5.432231,52.925327,2013-06-06 07:04:13
5.4322211,52.9252982,2013-06-06 07:21:18
5.4320754,52.9253532,2013-06-06 07:36:38
5.4324564,52.9256348,2013-06-06 07:51:41
5.4324059,52.9255858,2013-06-06 08:06:38
5.432583,52.9255822,2013-06-06 08:21:32
5.4335218,52.9253993,2013-06-06 08:36:28
5.4335609,52.9253179,2013-06-06 08:51:42
5.4322395,52.9254493,2013-06-06 09:10:52
5.432735,52.9257307,2013-06-06 09:40:50
5.4332612,52.926193,2013-06-06 09:55:55
5.4327683,52.9257712,2013-06-06 10:11:08
5.4325008,52.9260971,2013-06-06 10:40:27
5.43244,52.9255063,2013-06-06 11:10:35
5.4325341,52.9255211,2013-06-06 11:25:31
5.4322767,52.9255147,2013-06-06 11:40:27
5.4323092,52.9254109,2013-06-06 12:10:06
5.4330791,52.9256294,2013-06-06 12:39:56
5.4334396,52.9256883,2013-06-06 12:54:53
5.4338042,52.9253965,2013-06-06 13:10:06
5.4339494,52.9252348,2013-06-06 13:39:44
5.4338318,52.9255291,2013-06-06 14:22:08
5.4331471,52.9259284,2013-06-06 14:36:58
5.4340137,52.9257815,2013-06-06 14:51:54
5.4351913,52.9252016,2013-06-06 15:13:30
5.4358539,52.9258787,2013-06-06 15:45:46
5.4363255,52.9263646,2013-06-06 16:01:13
5.4365965,52.9265812,2013-06-06 16:16:26
5.43683,52.9256494,2013-06-06 16:46:20
5.4369909,52.9256094,2013-06-06 17:16:25
5.437012,52.9262471,2013-06-06 17:31:22
5.4398554,52.9309183,2013-06-06 17:47:18
5.4378136,52.9272912,2013-06-06 18:03:02
5.4380798,52.9257884,2013-06-06 18:18:02
5.4434342,52.9263733,2013-06-06 18:35:04
5.4338763,52.9250638,2013-06-06 18:50:32
5.4300348,52.9312786,2013-06-06 19:05:44
5.4353504,52.9268611,2013-06-06 19:20:56
5.4347891,52.9263699,2013-06-06 19:49:08
5.4347827,52.9263615,2013-06-06 20:04:09
5.4347569,52.9263558,2013-06-06 20:34:15
5.4347704,52.9263584,2013-06-06 21:04:09
5.4347143,52.9263944,2013-06-06 21:34:16
5.4347753,52.926351,2013-06-06 22:04:38
5.4348022,52.9263494,2013-06-06 22:34:31
5.4347806,52.9263488,2013-06-06 23:04:38
5.434761,52.9263543,2013-06-06 23:34:35
5.4348336,52.926375,2013-06-07 00:04:38
5.4348344,52.9263738,2013-06-07 00:34:45
5.4349019,52.926332,2013-06-07 01:04:41
5.4347832,52.9263319,2013-06-07 01:35:03
5.4348031,52.9263479,2013-06-07 02:04:54
5.4347528,52.9263511,2013-06-07 02:35:01
5.4348462,52.926421,2013-06-07 03:01:42
5.4349518,52.9264357,2013-06-07 03:17:25
5.4348548,52.926383,2013-06-07 03:32:37
5.4344801,52.9262761,2013-06-07 03:47:48
5.434404,52.9263022,2013-06-07 04:03:08
5.4352677,52.926528,2013-06-07 04:18:29
5.4352743,52.9266425,2013-06-07 04:33:56
5.435435,52.9267566,2013-06-07 04:49:40
5.4353729,52.9270648,2013-06-07 05:04:37
5.4393338,52.9284908,2013-06-07 05:19:32
5.4355912,52.9268864,2013-06-07 05:34:28
5.435851,52.9267528,2013-06-07 05:49:23
5.4361542,52.9270237,2013-06-07 06:04:20
5.4357155,52.9269862,2013-06-07 06:22:06
5.436145,52.9269315,2013-06-07 06:37:08
5.4359589,52.9273009,2013-06-07 06:52:19
5.4361138,52.9271576,2013-06-07 07:07:15
5.43598,52.9270535,2013-06-07 07:22:11
5.4360136,52.9269704,2013-06-07 07:37:09
5.4359652,52.9270678,2013-06-07 07:52:19
5.4353363,52.9273178,2013-06-07 08:08:06
5.4353228,52.9269013,2013-06-07 08:25:07
5.4354928,52.9265973,2013-06-07 08:40:02
5.4357048,52.926664,2013-06-07 08:56:50
5.4363434,52.9267442,2013-06-07 09:11:46
5.4366176,52.9266511,2013-06-07 09:27:31
5.4364295,52.9267936,2013-06-07 09:42:27
5.4362124,52.9266078,2013-06-07 09:58:16
5.4362531,52.9266113,2013-06-07 10:13:38
5.4361381,52.9263487,2013-06-07 10:31:14
5.4350295,52.9266866,2013-06-07 10:56:40
5.4339817,52.9261486,2013-06-07 11:12:01
5.4333768,52.9259094,2013-06-07 11:26:57
5.4321118,52.9251759,2013-06-07 11:41:53
5.4323333,52.9254912,2013-06-07 12:01:53
5.4328021,52.9253394,2013-06-07 12:31:48
5.432763,52.925479,2013-06-07 13:02:08
5.4329252,52.9255335,2013-06-07 13:17:05
5.4327423,52.9257297,2013-06-07 13:32:05
5.4317902,52.9267123,2013-06-07 14:01:51
